record_id,item_id,cargo_id,item_weight,timestamp
100,Item_5,Cargo_4,59,2022-07-01 00:08:09
101,Item_2,Cargo_4,89,2022-07-01 00:08:14
102,Item_0,Cargo_9,69,2022-07-01 00:08:19
103,Item_4,Cargo_3,27,2022-07-01 00:08:26
104,Item_4,Cargo_6,27,2022-07-01 00:08:31
105,Item_1,Cargo_7,32,2022-07-01 00:08:40
106,Item_1,Cargo_2,32,2022-07-01 00:08:48
107,Item_3,Cargo_9,53,2022-07-01 00:08:52
108,Item_5,Cargo_8,59,2022-07-01 00:09:01
109,Item_5,Cargo_9,59,2022-07-01 00:09:05
110,Item_1,Cargo_1,32,2022-07-01 00:09:10
111,Item_1,Cargo_1,32,2022-07-01 00:09:17
112,Item_5,Cargo_1,59,2022-07-01 00:09:23
113,Item_3,Cargo_9,53,2022-07-01 00:09:33
114,Item_2,Cargo_6,89,2022-07-01 00:09:40
115,Item_4,Cargo_3,27,2022-07-01 00:09:49
116,Item_0,Cargo_8,69,2022-07-01 00:09:50
117,Item_0,Cargo_9,69,2022-07-01 00:09:52
118,Item_2,Cargo_6,89,2022-07-01 00:09:53
119,Item_3,Cargo_9,53,2022-07-01 00:10:03
120,Item_2,Cargo_4,89,2022-07-01 00:10:10
121,Item_2,Cargo_6,89,2022-07-01 00:10:14
122,Item_5,Cargo_9,59,2022-07-01 00:10:22
123,Item_5,Cargo_0,59,2022-07-01 00:10:29
124,Item_5,Cargo_4,59,2022-07-01 00:10:32
125,Item_1,Cargo_8,32,2022-07-01 00:10:34
126,Item_2,Cargo_5,89,2022-07-01 00:10:43
127,Item_5,Cargo_1,59,2022-07-01 00:10:53
128,Item_5,Cargo_4,59,2022-07-01 00:10:57
129,Item_2,Cargo_8,89,2022-07-01 00:10:59
130,Item_1,Cargo_7,32,2022-07-01 00:11:06
131,Item_5,Cargo_9,59,2022-07-01 00:11:07
132,Item_5,Cargo_9,59,2022-07-01 00:11:13
133,Item_4,Cargo_3,27,2022-07-01 00:11:22
134,Item_5,Cargo_6,59,2022-07-01 00:11:30
135,Item_5,Cargo_2,59,2022-07-01 00:11:32
136,Item_1,Cargo_1,32,2022-07-01 00:11:41
137,Item_2,Cargo_5,89,2022-07-01 00:11:46
138,Item_4,Cargo_3,27,2022-07-01 00:11:52
139,Item_1,Cargo_1,32,2022-07-01 00:12:02
140,Item_1,Cargo_7,32,2022-07-01 00:12:06
141,Item_1,Cargo_7,32,2022-07-01 00:12:11
142,Item_4,Cargo_3,27,2022-07-01 00:12:17
143,Item_4,Cargo_3,27,2022-07-01 00:12:27
144,Item_5,Cargo_2,59,2022-07-01 00:12:35
145,Item_5,Cargo_0,59,2022-07-01 00:12:37
146,Item_5,Cargo_9,59,2022-07-01 00:12:42
147,Item_5,Cargo_9,59,2022-07-01 00:12:51
148,Item_5,Cargo_4,59,2022-07-01 00:13:01
149,Item_5,Cargo_1,59,2022-07-01 00:13:05
150,Item_1,Cargo_7,32,2022-07-01 00:13:10
151,Item_1,Cargo_7,32,2022-07-01 00:13:19
152,Item_5,Cargo_0,59,2022-07-01 00:13:23
153,Item_1,Cargo_7,32,2022-07-01 00:13:26
154,Item_1,Cargo_7,32,2022-07-01 00:13:28
155,Item_4,Cargo_6,27,2022-07-01 00:13:37
156,Item_2,Cargo_5,89,2022-07-01 00:13:47
157,Item_5,Cargo_1,59,2022-07-01 00:13:53
158,Item_0,Cargo_9,69,2022-07-01 00:13:54
159,Item_0,Cargo_9,69,2022-07-01 00:13:55
160,Item_5,Cargo_0,59,2022-07-01 00:14:03
161,Item_2,Cargo_5,89,2022-07-01 00:14:13
162,Item_2,Cargo_5,89,2022-07-01 00:14:19
163,Item_4,Cargo_6,27,2022-07-01 00:14:28
164,Item_0,Cargo_2,69,2022-07-01 00:14:35
165,Item_2,Cargo_5,89,2022-07-01 00:14:43
166,Item_5,Cargo_4,59,2022-07-01 00:14:45
167,Item_5,Cargo_4,59,2022-07-01 00:14:46
168,Item_2,Cargo_5,89,2022-07-01 00:14:54
169,Item_0,Cargo_2,69,2022-07-01 00:14:55
170,Item_2,Cargo_8,89,2022-07-01 00:14:56
